Equipo,Nombre,IRJ General,Edad,Posicion
Liga Deportiva Alajuelense,Mauricio Vargas,15,21,Portero
Club Sport Herediano,Rafael Gómez De Oliveira,15,26,Volante
Club Sport Herediano,Kevin Vega Garro,15,24,Volante
Asociación Deportiva San Carlos,Jake Beckford Edwards,15,22,Volante
Limón Fútbol Club,Luis Pérez Castillo,15,26,Volante
Limón Fútbol Club,Keider Bernard Cordero,15,20,Delantero
Club de Fútbol UCR,Carlos Méndez Segura,15,34,Portero
Club Sport Cartaginés,Cristian Taborda,14,28,Delantero
Municipal Pérez Zeledón,Luis Barrantes Campos,14,25,Volante
Municipal Pérez Zeledón,Facundo Crespo,14,26,Portero
Asociación Deportiva San Carlos,Alfonso Quesada Ramírez,14,28,Portero
Belén Fútbol Club,Diego Franco Mares,14,24,Volante
Belén Fútbol Club,Jorge Jara Lemaine,14,21,Portero
Asociación Deportiva Carmelita,Esteban Marín Murillo,14,20,Defensa
Deportivo Saprissa,Kevin Briceño Toruño,13,25,Portero
Liga Deportiva Alajuelense,José Salvatierra López,13,27,Defensa
Club Sport Herediano,José Sánchez Barquero,13,29,Volante
Municipal Pérez Zeledón,Porfirio López Meza,13,31,Defensa
Asociación Deportiva San Carlos,Juan Solís Brenes,13,29,Delantero
Asociación Deportiva San Carlos,Edgar Chacón Castro,13,20,Volante
Municipal Liberia,Yamil Allen McDonald,13,25,Defensa
,,,,
Liga Deportiva Alajuelense,Darío Alfaro González,12,19,Defensa
Club Sport Herediano,Julio Pardini Sandoval,12,32,Delantero
Club Sport Cartaginés,Sergio Córdoba Mejía,12,23,Defensa
Club Sport Cartaginés,Cristopher Nuñez González,12,19,Volante
,,,,
Limón Fútbol Club,Michael Soto Dixon,12,20,Delantero
Municipal Liberia,Axel Myers McCook,12,22,Volante
Liga Deportiva Alajuelense,Arturo Campos Villalobos,11,21,Delantero
Club Sport Herediano,Johnny Acosta Zamora,11,33,Defensa
Club Sport Herediano,Jimmy Marín Vílchez,11,19,Volante
Asociacion Deportiva Santos,Denilson Mora,11,17,Volante
